类型,备注,金额,日期
餐饮,外食,1000.00,2025-01-02
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
shopping,supermarket,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
activity,party activity shopping supermarket activity activity,100.00,2025-05-01
z,zz,100.00,2025-05-01
"food","...","1","2025-05-14"
"food","","0.01","2025-05-11"
"food","","0.02","2025-05-17"
"food","","0","2025-05-10"
"food","","0","2025-05-18"
